"","Latitude","Longitude","Class","B1","B2","B3","B4","B5","B6"
"1643",35.5470333668327,-82.6374320526993,"3",497,591,962,998,3017,2062
"1644",35.6138426796514,-82.3646498989041,"3",391,595,955,1077,1418,1719
"1645",35.6040657070438,-82.5530227601868,"3",580,701,990,1029,1980,1748
"1646",35.5864671563501,-82.5478082865181,"3",231,276,404,292,751,691
"1647",35.5763642846555,-82.5135883030671,"3",582,766,1128,1216,2170,2012
"1648",35.5920074408277,-82.5569336154384,"3",822,1027,1279,1379,1732,1649
"1649",35.5183542471837,-82.5970198817667,"3",812,978,1265,1435,1666,2108
"1650",35.5854894590893,-82.6009307370182,"3",249,365,719,641,2057,1383
"1651",35.5564844403534,-82.5116328754413,"3",488,556,817,812,1956,1766
"1652",35.6174275696075,-82.3633462804869,"3",347,492,915,945,1958,1818
"1653",35.5913556426539,-82.5699697996102,"3",465,603,945,956,2850,1778
"1654",35.5946146335231,-82.5706216088188,"3",238,336,669,561,2166,1593
"1655",35.5861412572631,-82.5266244872389,"3",126,156,417,272,2342,1362
"1656",35.5864671563501,-82.6270031053619,"3",227,378,761,715,2601,2009
"1657",35.6402405056919,-82.5764878916961,"3",2976,3525,3395,3759,4216,3133
"1658",35.4994521001423,-82.5214100135702,"3",676,823,1104,1195,1650,1586
"1659",35.4860902375786,-82.5663848489629,"3",289,408,769,660,2478,1622
"1660",35.5815786700462,-82.5214100135702,"3",1183,1302,1513,1590,1682,1759
"1661",35.4756614667971,-82.4839309840762,"3",218,276,588,483,2873,1470
"1662",35.4935859165777,-82.8724092723963,"3",425,646,1027,1150,2154,2029
"1663",35.6060211015653,-82.3613908528611,"3",316,480,819,938,1341,1618
"1664",35.5962441289577,-82.4063656882539,"3",267,363,735,620,2820,1843
"1665",35.5946146335231,-82.5800728423433,"3",642,731,1084,1103,2429,3369
"1666",35.5864671563501,-82.6032120692483,"3",593,706,1033,1040,2748,2298
"1667",35.586793055437,-82.4842568886805,"3",545,745,1068,1142,2050,1724
"1668",35.5972218262184,-82.5461787634966,"3",1674,1869,2112,2272,2539,2507
"1669",35.606998798826,-82.626025391549,"3",515,700,1051,1093,2106,1627
